coord_lat,coord_lon,weather_id,weather_main,weather_description,weather_icon,base,main_temp,main_pressure,main_humidity,main_temp_min,main_temp_max,visibility,wind_speed,wind_deg,clouds_all,dt,sys_type,sys_id,sys_message,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod
61.13,21.5,500,Rain,light rain,10n,stations,39.2,983,93,39.2,39.2,10000,9.17,140,100,1569947022,1,1353,0.0066,FI,1569904741,1569946108,10800,639735,Rauma,200
-1.2,-46.02,804,Clouds,overcast clouds,04d,stations,83.74,1010.55,64,83.74,83.74,,10.94,74.053,100,1569947023,,,0.0066,BR,1569919810,1569963441,-10800,3402648,Carutapera,200
5.18,97.15,500,Rain,light rain,10n,stations,70.96,1013.8,90,70.96,70.96,,2.55,202.794,70,1569947023,,,0.007,ID,1569885537,1569929008,25200,1214658,Lhokseumawe,200
36.4,117.89,801,Clouds,few clouds,02n,stations,71.01,1007,60,71.01,71.01,,4.63,191.435,16,1569947023,3,2015990,0.0068,CN,1569967419,1570009933,28800,1816265,Shima,200
-20.52,57.52,801,Clouds,few clouds,02n,stations,73.17,1020,78,73,73.4,10000,8.05,90,20,1569947024,1,2061,0.0081,MU,1569894698,1569938865,14400,933995,Souillac,200
-38.55,-58.74,804,Clouds,overcast clouds,04d,stations,57.99,1012,63,57.99,57.99,,8.01,180,99,1569947025,3,2019717,0.0069,AR,1569922221,1569967134,-10800,3430443,Necochea,200
54.42,-6.44,802,Clouds,scattered clouds,03d,stations,52.88,1009,62,51.8,54,10000,13.87,10,40,1569947025,1,1372,0.0075,GB,1569911220,1569953036,3600,2641364,Portadown,200
-21.76,-52.12,800,Clear,clear sky,01d,stations,96.34,1010.29,20,96.34,96.34,,9.35,31.577,0,1569947028,,,0.0072,BR,1569920974,1569965204,-10800,3452331,Presidente Epitacio,200
45.32,55.19,804,Clouds,overcast clouds,04n,stations,60.16,1020.71,45,60.16,60.16,,16.51,113.626,85,1569947029,,,0.006,KZ,1569896189,1569938492,18000,610298,Beyneu,200
18.22,-63.06,801,Clouds,few clouds,02d,stations,88.88,1014,62,88,89.6,10000,8.05,110,20,1569947029,1,8801,0.0067,AI,1569924152,1569967276,-14400,3573374,The Valley,200
0.54,123.06,804,Clouds,overcast clouds,04n,stations,72.94,1012.78,89,72.94,72.94,,3.42,77.402,86,1569947029,,,0.0079,ID,1569965643,1570009228,28800,1643837,Gorontalo,200
30.64,-112.98,800,Clear,clear sky,01d,stations,79.66,1008,47,79,80.01,,4,90,0,1569947029,3,2005681,0.0064,MX,1569936315,1569979069,-25200,3971596,Garcia,200
25.81,66.62,801,Clouds,few clouds,02n,stations,84.1,1007.08,69,84.1,84.1,,18.97,153.758,18,1569947030,,,0.0059,PK,1569893125,1569936071,18000,1162862,Uthal,200
51.3,-116.96,803,Clouds,broken clouds,04d,stations,37.4,1021,86,37.4,37.4,16093,2.24,,75,1569947030,1,788,0.0071,CA,1569937688,1569979606,-21600,5962582,Golden,200
-5.81,-35.21,802,Clouds,scattered clouds,03d,stations,86,1011,62,86,86,10000,19.46,100,40,1569947031,1,8417,0.0063,BR,1569917155,1569960908,-10800,3394023,Natal,200
22.89,-109.91,803,Clouds,broken clouds,04d,stations,77.18,1013,57,75,81,16093,3.36,150,75,1569946874,1,7151,0.0094,MX,1569935463,1569978448,-21600,3985710,Cabo San Lucas,200
37.57,126.98,701,Mist,mist,50n,stations,69.62,1018,106,68,71.6,4800,1.12,280,75,1569946899,1,5509,0.0066,KR,1569965258,1570007732,32400,1835848,Seoul,200
3.78,72.97,804,Clouds,overcast clouds,04n,stations,83.02,1010.83,74,83.02,83.02,,16.75,122.992,100,1569947031,,,0.006,MV,1569891322,1569934827,18000,1337605,Mahibadhoo,200
-15.77,128.74,800,Clear,clear sky,01n,stations,73.4,1012,56,73.4,73.4,10000,3.36,90,10,1569947032,1,9587,0.0072,AU,1569964040,1570008106,28800,2068110,Kununurra,200
31.68,38.65,800,Clear,clear sky,01n,stations,89.6,1011,21,89.6,89.6,10000,5.82,260,0,1569947032,1,7432,0.0068,SA,1569899924,1569942694,10800,101312,Turayf,200
19.28,-81.25,801,Clouds,few clouds,02d,stations,84.31,1008,79,82.99,86,10000,9.17,100,20,1569947032,1,7265,0.0055,KY,1569928533,1569971624,-18000,3580733,Bodden Town,200
24.8,125.28,500,Rain,light rain,10n,stations,81.04,1010.55,88,81.04,81.04,,14.54,172.839,0,1569947033,,,0.0072,JP,1569965452,1570008353,32400,1862505,Hirara,200
59.13,15.14,800,Clear,clear sky,01d,stations,50.4,989,50,48,53.6,10000,10.29,240,0,1569947033,1,1777,0.007,SE,1569906191,1569947710,7200,2698767,Kumla,200
